year,month,major_category,estat_job_count
2025,7,運搬・清掃・包装等,358668
2025,7,集計区分,283343
2025,8,サービス,961750
2025,8,事務,380950
2025,8,保安,89370
2025,8,分類不能,0
2025,8,専門・技術,965366
2025,8,建設・採掘,224474
2025,8,生産工程,384258
2025,8,管理,5980
2025,8,販売,379142
2025,8,輸送・機械運転,251466
2025,8,農林漁業,15432
2025,8,運搬・清掃・包装等,352204
2025,8,集計区分,282503
2025,9,サービス,976404
2025,9,事務,388968
2025,9,保安,89114
2025,9,分類不能,0
2025,9,専門・技術,972722
2025,9,建設・採掘,224640
2025,9,生産工程,392946
2025,9,管理,5995
2025,9,販売,382030
2025,9,輸送・機械運転,253724
2025,9,農林漁業,15771
2025,9,運搬・清掃・包装等,361530
2025,9,集計区分,284146
2025,10,サービス,990474
2025,10,事務,393076
2025,10,保安,90061
2025,10,分類不能,0
2025,10,専門・技術,985924
2025,10,建設・採掘,227224
2025,10,生産工程,398084
2025,10,管理,5992
2025,10,販売,382338
2025,10,輸送・機械運転,256176
2025,10,農林漁業,16003
2025,10,運搬・清掃・包装等,366854
2025,10,集計区分,290600
2025,11,サービス,962279
2025,11,事務,377788
2025,11,保安,90521
2025,11,分類不能,0
2025,11,専門・技術,973831
2025,11,建設・採掘,222008
2025,11,生産工程,385040
2025,11,管理,5693
2025,11,販売,372478
2025,11,輸送・機械運転,250170
2025,11,農林漁業,15202
2025,11,運搬・清掃・包装等,347722
2025,11,集計区分,281789
2025,12,サービス,940792
2025,12,事務,385610
2025,12,保安,89240
2025,12,分類不能,0
2025,12,専門・技術,984538
2025,12,建設・採掘,217086
2025,12,生産工程,382806
2025,12,管理,5758
2025,12,販売,365520
2025,12,輸送・機械運転,245214
2025,12,農林漁業,14630
2025,12,運搬・清掃・包装等,332618
2025,12,集計区分,280652
2026,1,サービス,922409
2026,1,事務,415764
2026,1,保安,87258
2026,1,分類不能,0
2026,1,専門・技術,996973
2026,1,建設・採掘,213004
2026,1,生産工程,385574
2026,1,管理,5763
2026,1,販売,361134
2026,1,輸送・機械運転,246672
2026,1,農林漁業,15359
2026,1,運搬・清掃・包装等,330890
2026,1,集計区分,274133
2026,2,サービス,919529
2026,2,事務,442130
2026,2,保安,88881
2026,2,分類不能,0
2026,2,専門・技術,998823
2026,2,建設・採掘,218658
2026,2,生産工程,392750
2026,2,管理,5974
2026,2,販売,363460
2026,2,輸送・機械運転,248544
2026,2,農林漁業,16723
2026,2,運搬・清掃・包装等,338744
2026,2,集計区分,271168
