year,month,major_category,hellowork_active_job_count,estimated_national_active_job_count_base
2025,3,サービス,978958,2159847
2025,3,事務,457062,1518255
2025,3,保安,91623,203607
2025,3,専門・技術,1031240,3057507
2025,3,建設・採掘,231198,408374
2025,3,生産工程,403256,769852
2025,3,管理,6178,51483
2025,3,販売,402540,1446887
2025,3,輸送・機械運転,259468,487768
2025,3,農林漁業,17835,27438
2025,3,運搬・清掃・包装等,375566,756622
2025,4,サービス,977682,2156656
2025,4,事務,417744,1386386
2025,4,保安,90512,201138
2025,4,専門・技術,997632,2965465
2025,4,建設・採掘,232042,409892
2025,4,生産工程,399756,763171
2025,4,管理,6661,55508
2025,4,販売,396590,1425212
2025,4,輸送・機械運転,258858,486678
2025,4,農林漁業,17452,26849
2025,4,運搬・清掃・包装等,371478,748404
2025,5,サービス,985251,2172295
2025,5,事務,399862,1326399
2025,5,保安,88397,196438
2025,5,専門・技術,979215,2911977
2025,5,建設・採掘,231452,408851
2025,5,生産工程,391628,747653
2025,5,管理,6399,53325
2025,5,販売,391964,1409009
2025,5,輸送・機械運転,255518,480327
2025,5,農林漁業,16593,25528
2025,5,運搬・清掃・包装等,364154,733661
2025,6,サービス,977912,2154659
2025,6,事務,387834,1286344
2025,6,保安,89094,197987
2025,6,専門・技術,973152,2892315
2025,6,建設・採掘,231820,409485
2025,6,生産工程,388452,741590
2025,6,管理,6379,53158
2025,6,販売,390022,1401636
2025,6,輸送・機械運転,254094,477613
2025,6,農林漁業,16110,24785
2025,6,運搬・清掃・包装等,356002,717242
2025,7,サービス,979199,2156034
2025,7,事務,389094,1290465
2025,7,保安,91392,203093
2025,7,専門・技術,981123,2911703
2025,7,建設・採掘,229716,405842
2025,7,生産工程,391668,747730
2025,7,管理,5838,48650
2025,7,販売,391988,1408718
2025,7,輸送・機械運転,255882,480967
2025,7,農林漁業,15747,24226
2025,7,運搬・清掃・包装等,358668,722634
2025,8,サービス,961750,2115661
2025,8,事務,380950,1263197
2025,8,保安,89370,198600
2025,8,専門・技術,965366,2861596
2025,8,建設・採掘,224474,396587
2025,8,生産工程,384258,733583
2025,8,管理,5980,49833
2025,8,販売,379142,1362399
2025,8,輸送・機械運転,251466,472691
2025,8,農林漁業,15432,23742
2025,8,運搬・清掃・包装等,352204,709641
2025,9,サービス,976404,2149192
2025,9,事務,388968,1289844
2025,9,保安,89114,198031
2025,9,専門・技術,972722,2879934
2025,9,建設・採掘,224640,396946
2025,9,生産工程,392946,750170
2025,9,管理,5995,49958
2025,9,販売,382030,1372942
2025,9,輸送・機械運転,253724,476948
2025,9,農林漁業,15771,24263
2025,9,運搬・清掃・包装等,361530,728432
2025,10,サービス,990474,2179532
2025,10,事務,393076,1303327
2025,10,保安,90061,200136
2025,10,専門・技術,985924,2917926
2025,10,建設・採掘,227224,401534
2025,10,生産工程,398084,759979
2025,10,管理,5992,49933
2025,10,販売,382338,1373832
2025,10,輸送・機械運転,256176,481524
2025,10,農林漁業,16003,24620
2025,10,運搬・清掃・包装等,366854,739221
2025,11,サービス,962279,2118333
2025,11,事務,377788,1252629
2025,11,保安,90521,201158
2025,11,専門・技術,973831,2883163
2025,11,建設・採掘,222008,392310
2025,11,生産工程,385040,735076
2025,11,管理,5693,47442
2025,11,販売,372478,1338189
2025,11,輸送・機械運転,250170,470199
2025,11,農林漁業,15202,23388
2025,11,運搬・清掃・包装等,347722,700731
2025,12,サービス,940792,2069893
2025,12,事務,385610,1279241
2025,12,保安,89240,198311
2025,12,専門・技術,984538,2914274
2025,12,建設・採掘,217086,383570
2025,12,生産工程,382806,730811
2025,12,管理,5758,47983
2025,12,販売,365520,1313002
2025,12,輸送・機械運転,245214,460936
2025,12,農林漁業,14630,22508
2025,12,運搬・清掃・包装等,332618,670349
2026,1,サービス,922409,2030785
2026,1,事務,415764,1380575
2026,1,保安,87258,193907
2026,1,専門・技術,996973,2946812
