year,month,major_category,estat_job_count,coverage_rate,estimated_national_job_count,coverage_source,notes
2023,4,事務,443130,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,4,保安,81596,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,4,分類不能,0,,,,
2023,4,専門・技術,983305,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,4,建設・採掘,240426,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,4,生産工程,443416,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,4,管理,6774,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,4,販売,427348,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,4,輸送・機械運転,264626,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,4,農林漁業,18586,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,4,運搬・清掃・包装等,417674,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,4,集計区分,277164,,,,
2023,5,サービス,1045602,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,5,事務,425482,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,5,保安,81028,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,5,分類不能,0,,,,
2023,5,専門・技術,965888,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,5,建設・採掘,236508,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,5,生産工程,431992,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,5,管理,6422,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,5,販売,427568,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,5,輸送・機械運転,261684,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,5,農林漁業,17785,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,5,運搬・清掃・包装等,410184,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,5,集計区分,281689,,,,
2023,6,サービス,1048420,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,6,事務,419864,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,6,保安,81946,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,6,分類不能,0,,,,
2023,6,専門・技術,979520,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,6,建設・採掘,239180,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,6,生産工程,434306,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,6,管理,6875,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,6,販売,425530,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,6,輸送・機械運転,263424,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,6,農林漁業,17405,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,6,運搬・清掃・包装等,408012,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,6,集計区分,286374,,,,
2023,7,サービス,1040774,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,7,事務,413596,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,7,保安,82384,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,7,分類不能,0,,,,
2023,7,専門・技術,977404,0.34,,default_heuristic,レビュー用の見直し後初期値
2023,7,建設・採掘,237710,0.55,,default_heuristic,レビュー用の見直し後初期値
2023,7,生産工程,430674,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,7,管理,6886,0.20,,default_heuristic,レビュー用の見直し後初期値
2023,7,販売,425536,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,7,輸送・機械運転,261748,0.50,,default_heuristic,レビュー用の見直し後初期値
2023,7,農林漁業,16942,0.65,,default_heuristic,レビュー用の見直し後初期値
2023,7,運搬・清掃・包装等,403552,0.48,,default_heuristic,レビュー用の見直し後初期値
2023,7,集計区分,285453,,,,
2023,8,サービス,1047891,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,8,事務,417954,0.35,,default_heuristic,レビュー用の見直し後初期値
2023,8,保安,82474,0.45,,default_heuristic,レビュー用の見直し後初期値
2023,8,分類不能,0,,,,
